(65, 7), (10, 242), (136, 248), (129, 193), (141, 144), (167, 160), (246, 162)
(151, 248), (250, 41), (123, 47), (34, 7), (37, 98), (84, 192), (6, 172)
(43, 159), (119, 200), (130, 173), (226, 130), (129, 134), (44, 110), (29, 64)
(207, 5), (7, 40), (79, 180), (83, 250), (155, 158), (213, 123), (233, 163)
(208, 38), (26, 63), (50, 171), (40, 218), (133, 142), (205, 137), (236, 181)
(20, 3), (167, 253), (201, 172), (235, 151), (161, 53), (104, 20), (198, 7)
(251, 29), (7, 186), (42, 198), (76, 227), (151, 183), (223, 157), (238, 206)
(132, 196), (193, 106), (155, 99), (103, 63), (109, 148), (84, 125), (62, 149)
(68, 224), (202, 240), (222, 87), (253, 25), (71, 188), (59, 147), (1, 135)
(198, 224), (146, 8), (100, 26), (57, 17), (158, 221), (129, 228), (96, 248)
(122, 254), (186, 249), (190, 188), (149, 219), (244, 6), (82, 92), (11, 11)
(17, 150), (22, 184), (88, 245), (238, 252), (200, 208), (148, 175), (187, 3)
(239, 92), (236, 53), (155, 56), (15, 139), (87, 151), (108, 171), (122, 202)
(47, 65), (24, 94), (104, 172), (232, 218), (193, 154), (129, 99), (175, 38)
(244, 87), (250, 50), (38, 36), (81, 235), (145, 191), (177, 179), (178, 204)
(164, 238), (195, 225), (187, 112), (37, 18), (94, 151), (48, 143), (31, 201)
(35, 192), (62, 191), (237, 75), (210, 64), (100, 119), (52, 159), (19, 124)
(97, 217), (117, 231), (239, 174), (232, 25), (143, 132), (122, 134), (23, 58)
(116, 174), (145, 176), (173, 154), (204, 111), (137, 146), (112, 105), (52, 79)
(54, 47), (38, 81), (89, 206), (127, 208), (105, 119), (144, 117), (217, 62)
(47, 139), (61, 169), (159, 166), (164, 145), (210, 107), (119, 110), (58, 88)
(139, 62), (102, 80), (16, 194), (142, 149), (167, 172), (162, 123), (240, 65)
(166, 51), (2, 28), (102, 254), (181, 213), (229, 204), (223, 162), (253, 157)
(71, 169), (107, 221), (250, 145), (146, 103), (143, 35), (96, 97), (51, 44)
(194, 135), (198, 110), (58, 78), (97, 113), (61, 138), (114, 151), (111, 178)
(66, 240), (219, 176), (209, 16), (92, 29), (67, 170), (51, 202), (17, 188)
(35, 143), (163, 178), (230, 182), (124, 117), (75, 73), (38, 119), (26, 102)
(88, 196), (153, 192), (233, 157), (152, 145), (112, 60), (81, 154), (15, 64)
(8, 104), (110, 187), (220, 241), (205, 193), (96, 130), (248, 15), (52, 52)
(11, 89), (41, 167), (185, 231), (159, 174), (113, 128), (245, 123), (188, 25)
(23, 32), (93, 194), (135, 224), (141, 179), (195, 122), (236, 113), (202, 68)
(48, 8), (25, 105), (91, 246), (98, 167), (141, 152), (230, 221), (226, 64)
(2, 153), (12, 240), (146, 182), (127, 116), (107, 110), (244, 23), (125, 16)
(14, 237), (242, 229), (211, 159), (179, 126), (138, 119), (95, 141), (171, 18)
