0,1,2,3,4,5
,0011001,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179)] - 011","[(166, 113), (71, 52), (163, 9)] - 001",I
,0011001,"(190, 247) - 0","[(18, 29)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 11001",I
,0011001,"(190, 247) - 0","[(247, 235)] - 1","[(18, 29), (202, 179), (166, 113), (71, 52), (163, 9)] - 01001",I
,0011001,"(190, 247) - 0","[(247, 235), (202, 179), (166, 113), (163, 9)] - 1101","[(18, 29), (71, 52)] - 00",I
,0011001,"(190, 247) - 0","[(247, 235), (202, 179)] - 11","[(18, 29), (166, 113), (71, 52), (163, 9)] - 0001",I
,0011001,"(190, 247) - 0","[(247, 235), (202, 179), (163, 9)] - 111","[(18, 29), (166, 113), (71, 52)] - 000",I
,0011001,"(247, 235) - 1",[] - ,"[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52), (163, 9)] - 001001",I
,0011001,"(247, 235) - 1","[(163, 9)] - 1","[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52)] - 00100",I
,0011001,"(247, 235) - 1","[(18, 29), (190, 247)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 1001",I
,0011001,"(247, 235) - 1","[(166, 113), (163, 9)] - 01","[(18, 29), (190, 247), (202, 179), (71, 52)] - 0010",I
,0011001,"(247, 235) - 1","[(202, 179), (166, 113), (163, 9)] - 101","[(18, 29), (190, 247), (71, 52)] - 000",I
,0011001,"(202, 179) - 1","[(166, 113), (163, 9)] - 01","[(18, 29), (190, 247), (247, 235), (71, 52)] - 0010",I
,0011001,"(166, 113) - 0","[(163, 9)] - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (71, 52)] - 00110",I
,0011001,"(71, 52) - 0","[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113)] - 00110","[(163, 9)] - 1",I
,0011001,"(163, 9) - 1",[] - ,"[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 001100",I
,0011010,"(18, 29) - 0",[] - ,"[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 011010",B
,0011010,"(18, 29) - 0","[(190, 247), (247, 235)] - 01","[(202, 179), (166, 113), (71, 52), (163, 9)] - 1010",B
,0011010,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113)] - 0110","[(71, 52), (163, 9)] - 10",B
,0011010,"(190, 247) - 0",[] - ,"[(18, 29), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 011010",B
,0011010,"(190, 247) - 0","[(247, 235), (202, 179), (166, 113), (163, 9)] - 1100","[(18, 29), (71, 52)] - 01",B
,0011010,"(247, 235) - 1","[(163, 9)] - 0","[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52)] - 00101",B
,0011010,"(247, 235) - 1","[(202, 179), (166, 113), (163, 9)] - 100","[(18, 29), (190, 247), (71, 52)] - 001",B
,0011010,"(202, 179) - 1","[(18, 29), (190, 247), (247, 235)] - 001","[(166, 113), (71, 52), (163, 9)] - 010",B
,0011010,"(166, 113) - 0","[(18, 29), (190, 247), (247, 235), (202, 179)] - 0011","[(71, 52), (163, 9)] - 10",B
,0011010,"(71, 52) - 1","[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113)] - 00110","[(163, 9)] - 0",B
,0011010,"(163, 9) - 0",[] - ,"[(18, 29), (190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 001101",B
,0011010,"(18, 29) - 0","[(190, 247)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 11010",I
,0011010,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52)] - 01101","[(163, 9)] - 0",I
,0011010,"(18, 29) - 0","[(190, 247), (247, 235), (202, 179)] - 011","[(166, 113), (71, 52), (163, 9)] - 010",I
,0011010,"(190, 247) - 0","[(18, 29)] - 0","[(247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 11010",I
,0011010,"(190, 247) - 0","[(247, 235)] - 1","[(18, 29), (202, 179), (166, 113), (71, 52), (163, 9)] - 01010",I
,0011010,"(190, 247) - 0","[(247, 235), (202, 179)] - 11","[(18, 29), (166, 113), (71, 52), (163, 9)] - 0010",I
,0011010,"(190, 247) - 0","[(247, 235), (202, 179), (163, 9)] - 110","[(18, 29), (166, 113), (71, 52)] - 001",I
,0011010,"(247, 235) - 1",[] - ,"[(18, 29), (190, 247), (202, 179), (166, 113), (71, 52), (163, 9)] - 001010",I
,0011010,"(247, 235) - 1","[(18, 29), (190, 247)] - 00","[(202, 179), (166, 113), (71, 52), (163, 9)] - 1010",I
,0011010,"(247, 235) - 1","[(166, 113), (163, 9)] - 00","[(18, 29), (190, 247), (202, 179), (71, 52)] - 0011",I
,0011010,"(202, 179) - 1","[(166, 113), (163, 9)] - 00","[(18, 29), (190, 247), (247, 235), (71, 52)] - 0011",I
,0011010,"(166, 113) - 0","[(163, 9)] - 0","[(18, 29), (190, 247), (247, 235), (202, 179), (71, 52)] - 00111",I
,0011100,"(18, 29) - 0",[] - ,"[(190, 247), (247, 235), (202, 179), (166, 113), (71, 52), (163, 9)] - 011100",B
